"kod_kraja" "obvod" "kod_okresu" "kod_obce" "obec" "pocet_hlasov" "OlanoNova_hlasy" "OlanoNova_percent" "SmeRodina_hlasy" "SmeRodina_percent" "Most_hlasy" "Most_percent" "SNS_hlasy" "SNS_percent" "SMER_hlasy" "SMER_percent" "KDH_hlasy" "KDH_percent" "LSNS_hlasy" "LSNS_percent" "Siet_hlasy" "Siet_percent" "SMK_hlasy" "SMK_percent" "SaS_hlasy" "SaS_percent" "mladi" "zaklad.stred" "mladiXvzdel" "zakladne_vzdelanie_." "bez_vzdelania_." "obyvatelov2004" "pocet_obyvatelov_2014" "rozdiel_obyvatelov" "perce_rozdiel_obyv_2014_ku2004" "vek65v" "madarska_narodnost" "rim_kat" "vek0_14" "vs_vzdelanie_mgr" "perc_romov" "prirastok_romov" "per_uoz" "lng" "lat"
"782" "NSK" "Nitra" 403 500011 "Nitra" 42073 5112 12.15 3004 7.13 1737 4.12 3943 9.37 12071 28.69 1704 4.05 3347 7.95 2640 6.27 129 0.3 6986 16.6 6.02 55.23 332.4846 10.09 13.02 86138 78033 -8105 -9.41 13.26 1.83 66.07 13.02 18.43 2.68 10 3.76 18.076376 48.3061414
"747" "NSK" "Nitra" 403 500020 "Alekšince" 823 54 6.56 38 4.61 11 1.33 87 10.57 381 46.29 47 5.71 90 10.93 31 3.76 0 0 62 7.53 8.98 70.29 631.2042 20.14 14.82 1702 1682 -20 -1.18 13.33 0.42 89.24 14.82 5.44 8.43 19.01 4.82 17.9497477 48.3667063
"748" "NSK" "Nitra" 403 500046 "Báb" 505 48 9.5 38 7.52 10 1.98 49 9.7 220 43.56 15 2.97 54 10.69 25 4.95 0 0 36 7.12 6.31 69.08 435.8948 20.29 16.71 965 1093 128 13.26 12.75 0.39 82.61 16.71 6.09 0 0 5.12 17.8682559 48.3103344
"809" "NSK" "Nitra" 407 500062 "Beladice" 772 56 7.25 36 4.66 13 1.68 65 8.41 383 49.61 18 2.33 84 10.88 23 2.97 0 0 70 9.06 7.11 68.79 489.0969 17.8 15.44 1532 1603 71 4.63 14.1 0.32 84.3 15.44 6.38 7.96 0 4.62 18.2993856 48.3386744
"751" "NSK" "Nitra" 403 500071 "Branč" 1132 103 9.09 89 7.86 287 25.35 46 4.06 267 23.58 16 1.41 84 7.42 43 3.79 55 4.85 91 8.03 7.54 73.64 555.2456 19.64 12.83 2048 2202 154 7.52 13.98 20.56 89.14 12.79 5.34 2.47 0 3.72 18.1469266 48.2099508
"754" "NSK" "Nitra" 403 500101 "Čakajovce" 592 37 6.25 47 7.93 13 2.19 76 12.83 239 40.37 11 1.85 59 9.96 26 4.39 0 0 62 10.47 5.76 69.6 400.896 19.06 14.75 1090 1145 55 5.05 14.12 0.27 86.24 14.75 7.55 17.16 17.96 6.11 18.0379041 48.3696603
"810" "NSK" "Nitra" 407 500127 "Čaradice" 260 25 9.61 8 3.07 5 1.92 34 13.07 107 41.15 21 8.07 25 9.61 8 3.07 0 0 13 5 6.02 61.25 368.725 14.09 14.09 520 515 -5 -0.96 17.61 1.57 85.91 14.09 12.13 10.92 18.75 6.02 18.5107101 48.35882
"756" "NSK" "Nitra" 403 500135 "Čeľadice" 453 30 6.62 38 8.38 10 2.2 70 15.45 186 41.05 8 1.76 41 9.05 20 4.41 0 0 30 6.62 6.02 66.41 399.7882 15.97 16.96 757 930 173 22.85 15.54 0.98 84.9 16.96 7.88 0 0 3.23 18.2417451 48.3252329
"812" "NSK" "Nitra" 407 500151 "Čierne Kľačany" 621 52 8.37 39 6.28 4 0.64 103 16.58 230 37.03 45 7.24 55 8.85 16 2.57 0 0 61 9.82 6.79 71.86 487.9294 16.05 14.39 1126 1104 -22 -1.95 12.82 0.37 94.74 14.3 6.09 0 0 3.8 18.4178403 48.3516567
"757" "NSK" "Nitra" 403 500160 "Čifáre" 273 16 5.86 20 7.32 59 21.61 9 3.29 73 26.73 6 2.19 34 12.45 6 2.19 24 8.79 16 5.86 7.31 73.68 538.6008 23.51 13.25 634 616 -18 -2.84 15.89 28.64 83.94 13.58 4.97 4.81 0 6.33 18.3916798 48.2318949
